1,406001001,2,电池01熔丝故障告警,1,1,1,2,0,406001001,2,120,20,0,0,电池01熔丝故障告警,正常
2,406001002,2,电池02熔丝故障告警,1,1,1,2,0,406001002,2,120,20,0,0,电池02熔丝故障告警,正常
3,406002001,2,电池1充电过流告警,1,1,1,3,0,406002001,2,180,20,0,0,电池1充电过流告警,正常
4,406002002,2,电池2充电过流告警,1,1,1,3,0,406002002,2,180,20,0,0,电池2充电过流告警,正常
5,406003001,2,电池1温度过高告警,1,40,1,3,-2,406125001,3,0,0,0,0,电池1温度过高告警,正常
6,406003002,2,电池2温度过高告警,1,40,1,3,-2,406125002,3,0,0,0,0,电池2温度过高告警,正常
7,406004001,2,电池放电不平衡告警,1,1,1,4,0,406004001,2,240,20,0,0,电池放电不平衡告警,正常
8,406005001,2,电池供电告警,1,1,1,2,0,406005001,2,240,20,0,1,电池供电告警,正常
9,406007001,2,负载熔丝1故障告警,1,1,1,1,0,406007001,2,20,20,0,1,负载熔丝1故障告警,正常
10,406007002,2,负载熔丝2故障告警,1,1,1,1,0,406007002,2,20,20,0,1,负载熔丝2故障告警,正常
11,406007003,2,负载熔丝3故障告警,1,1,1,1,0,406007003,2,20,20,0,1,负载熔丝3故障告警,正常
12,406007004,2,负载熔丝4故障告警,1,1,1,1,0,406007004,2,20,20,0,1,负载熔丝4故障告警,正常
13,406007005,2,负载熔丝5故障告警,1,1,1,1,0,406007005,2,20,20,0,1,负载熔丝5故障告警,正常
14,406007006,2,负载熔丝6故障告警,1,1,1,1,0,406007006,2,20,20,0,1,负载熔丝6故障告警,正常
15,406007007,2,负载熔丝7故障告警,1,1,1,1,0,406007007,2,20,20,0,1,负载熔丝7故障告警,正常
16,406007008,2,负载熔丝8故障告警,1,1,1,1,0,406007008,2,20,20,0,1,负载熔丝8故障告警,正常
17,406007009,2,负载熔丝9故障告警,1,1,1,1,0,406007009,2,20,20,0,1,负载熔丝9故障告警,正常
18,406007010,2,负载熔丝10故障告警,1,1,1,1,0,406007010,2,20,20,0,1,负载熔丝10故障告警,正常
19,406007011,2,负载熔丝11故障告警,1,1,1,1,0,406007011,2,20,20,0,1,负载熔丝11故障告警,正常
20,406007012,2,负载熔丝12故障告警,1,1,1,1,0,406007012,2,20,20,0,1,负载熔丝12故障告警,正常
21,406007013,2,负载熔丝13故障告警,1,1,1,1,0,406007013,2,20,20,0,1,负载熔丝13故障告警,正常
22,406007014,2,负载熔丝14故障告警,1,1,1,1,0,406007014,2,20,20,0,1,负载熔丝14故障告警,正常
23,406007015,2,负载熔丝15故障告警,1,1,1,1,0,406007015,2,20,20,0,1,负载熔丝15故障告警,正常
24,406007016,2,负载熔丝16故障告警,1,1,1,1,0,406007016,2,20,20,0,1,负载熔丝16故障告警,正常
25,406007017,2,负载熔丝17故障告警,1,1,1,1,0,406007017,2,20,20,0,1,负载熔丝17故障告警,正常
26,406007018,2,负载熔丝18故障告警,1,1,1,1,0,406007018,2,20,20,0,1,负载熔丝18故障告警,正常
27,406007019,2,负载熔丝19故障告警,1,1,1,1,0,406007019,2,20,20,0,1,负载熔丝19故障告警,正常
28,406007020,2,负载熔丝20故障告警,1,1,1,1,0,406007020,2,20,20,0,1,负载熔丝20故障告警,正常
29,406008001,2,直流输出电压过低告警,1,48,0,2,0.5,406111001,3,0,0,1800,0,直流输出电压过低告警,正常
